year,neighborhoodName,density
2019,la Font d'en Fargues,144
2019,la Font de la Guatlla,346
2019,la Guineueta,251
2019,la Marina de Port,244
2019,la Marina del Prat Vermell,1
2019,la Maternitat i Sant Ramon,124
2019,la Nova Esquerra de l'Eixample,433
2019,la Prosperitat,453
2019,la Sagrada Família,493
2019,la Sagrera,298
2019,la Salut,206
2019,la Teixonera,348
2019,la Trinitat Nova,132
2019,la Trinitat Vella,127
2019,la Vall d'Hebron,78
2019,la Verneda i la Pau,255
2019,la Vila Olímpica del Poblenou,100
2019,la Vila de Gràcia,379
2019,les Corts,328
2019,les Roquetes,251
2019,les Tres Torres,211
2020,Baró de Viver,114
2020,Can Baró,243
2020,Can Peguera,192
2020,Canyelles,87
2020,Ciutat Meridiana,294
2020,Diagonal Mar i el Front Marítim del Poblenou,110
2020,Horta,92
2020,Hostafrancs,395
2020,Montbau,25
2020,Navas,529
2020,Pedralbes,44
2020,Porta,332
2020,Provençals del Poblenou,196
2020,Sant Andreu,313
2020,Sant Antoni,484
2020,Sant Genís dels Agudells,44
2020,Sant Gervasi - Galvany,287
2020,Sant Gervasi - la Bonanova,117
2020,Sant Martí de Provençals,356
2020,"Sant Pere, Santa Caterina i la Ribera",209
2020,Sants,399
2020,Sants - Badal,601
2020,Sarrià,83
2020,Torre Baró,17
2020,Vallbona,23
2020,Vallcarca i els Penitents,130
2020,"Vallvidrera, el Tibidabo i les Planes",4
2020,Verdun,539
2020,Vilapicina i la Torre Llobeta,462
2020,el Baix Guinardó,465
2020,el Barri Gòtic,265
2020,el Besòs i el Maresme,212
2020,el Bon Pastor,73
2020,el Camp d'en Grassot i Gràcia Nova,545
2020,el Camp de l'Arpa del Clot,528
2020,el Carmel,346
2020,el Clot,388
2020,el Coll,215
2020,el Congrés i els Indians,360
2020,el Fort Pienc,360
2020,el Guinardó,287
2020,el Parc i la Llacuna del Poblenou,142
2020,el Poble Sec,88
2020,el Poblenou,219
2020,el Putxet i el Farró,357
2020,el Raval,437
2020,el Turó de la Peira,458
2020,l'Antiga Esquerra de l'Eixample,350
2020,la Barceloneta,128
2020,la Bordeta,342
2020,la Clota,40
2020,la Dreta de l'Eixample,209
2020,la Font d'en Fargues,145
2020,la Font de la Guatlla,349
2020,la Guineueta,252
2020,la Marina de Port,247
