,districtName,year,districtCode,neighborhoodName,sex,count,Latitude_d,Longitude_d,Latitude_n,Longitude_n,totCount,percent,density
61,Ciutat Vella,2015,01,el Barri Gòtic,Male,1164,41.38084295838007,2.181049163164951,41.38129203149477,2.1773117122464805,2202,52.86,265
62,Sant Martí,2015,10,el Besòs i el Maresme,Female,652,41.407613151742986,2.2012214191471715,41.41331882191443,2.2167873156096003,1573,41.45,212
63,Sant Martí,2015,10,el Besòs i el Maresme,Male,921,41.407613151742986,2.2012214191471715,41.41331882191443,2.2167873156096003,1573,58.55,212
64,Sant Andreu,2015,09,el Bon Pastor,Female,269,41.43505454638585,2.1933091722750544,41.436966595818845,2.2018821998161364,579,46.46,73
65,Sant Andreu,2015,09,el Bon Pastor,Male,310,41.43505454638585,2.1933091722750544,41.436966595818845,2.2018821998161364,579,53.54,73
66,Gràcia,2015,06,el Camp d'en Grassot i Gràcia Nova,Female,863,41.41014984533272,2.15239842811538,41.406303274194116,2.1650129537004696,1643,52.53,545
67,Gràcia,2015,06,el Camp d'en Grassot i Gràcia Nova,Male,780,41.41014984533272,2.15239842811538,41.406303274194116,2.1650129537004696,1643,47.47,545
68,Sant Martí,2015,10,el Camp de l'Arpa del Clot,Female,1013,41.407613151742986,2.2012214191471715,41.412010616322334,2.1824611855386538,1948,52.0,528
69,Sant Martí,2015,10,el Camp de l'Arpa del Clot,Male,935,41.407613151742986,2.2012214191471715,41.412010616322334,2.1824611855386538,1948,48.0,528
70,Horta-Guinardó,2015,07,el Carmel,Female,601,41.42913982673942,2.150530914702001,41.42174672331425,2.1559470043877886,1165,51.59,346
71,Horta-Guinardó,2015,07,el Carmel,Male,564,41.42913982673942,2.150530914702001,41.42174672331425,2.1559470043877886,1165,48.41,346
72,Sant Martí,2015,10,el Clot,Female,603,41.407613151742986,2.2012214191471715,41.4098058884566,2.190020340634504,1215,49.63,388
73,Sant Martí,2015,10,el Clot,Male,612,41.407613151742986,2.2012214191471715,41.4098058884566,2.190020340634504,1215,50.37,388
74,Gràcia,2015,06,el Coll,Female,195,41.41014984533272,2.15239842811538,41.41823358068606,2.147736395081032,372,52.42,215
75,Gràcia,2015,06,el Coll,Male,177,41.41014984533272,2.15239842811538,41.41823358068606,2.147736395081032,372,47.58,215
76,Sant Andreu,2015,09,el Congrés i els Indians,Female,295,41.43505454638585,2.1933091722750544,41.42457885638329,2.1808357843935195,567,52.03,360
77,Sant Andreu,2015,09,el Congrés i els Indians,Male,272,41.43505454638585,2.1933091722750544,41.42457885638329,2.1808357843935195,567,47.97,360
78,Eixample,2015,02,el Fort Pienc,Female,1005,41.39162181574575,2.1644883081819466,41.397405898016736,2.181498917420189,2004,50.15,360
79,Eixample,2015,02,el Fort Pienc,Male,999,41.39162181574575,2.1644883081819466,41.397405898016736,2.181498917420189,2004,49.85,360
80,Horta-Guinardó,2015,07,el Guinardó,Female,858,41.42913982673942,2.150530914702001,41.41881986815293,2.173626015032121,1663,51.59,287
81,Horta-Guinardó,2015,07,el Guinardó,Male,805,41.42913982673942,2.150530914702001,41.41881986815293,2.173626015032121,1663,48.41,287
82,Sant Martí,2015,10,el Parc i la Llacuna del Poblenou,Female,449,41.407613151742986,2.2012214191471715,41.398613220115344,2.190249714462936,891,50.39,142
83,Sant Martí,2015,10,el Parc i la Llacuna del Poblenou,Male,442,41.407613151742986,2.2012214191471715,41.398613220115344,2.190249714462936,891,49.61,142
84,Sants-Montjuïc,2015,03,el Poble Sec,Female,1321,41.34994863691585,2.1449328518852444,41.36538911640937,2.1582110952686215,2894,45.65,88
85,Sants-Montjuïc,2015,03,el Poble Sec,Male,1573,41.34994863691585,2.1449328518852444,41.36538911640937,2.1582110952686215,2894,54.35,88
86,Sant Martí,2015,10,el Poblenou,Female,804,41.407613151742986,2.2012214191471715,41.399986587118,2.2023944832245395,1604,50.12,219
87,Sant Martí,2015,10,el Poblenou,Male,800,41.407613151742986,2.2012214191471715,41.399986587118,2.2023944832245395,1604,49.88,219
88,Sarrià-Sant Gervasi,2015,05,el Putxet i el Farró,Female,780,41.412773594643824,2.106121049753216,41.40689839008574,2.1439149715259136,1459,53.46,357
89,Sarrià-Sant Gervasi,2015,05,el Putxet i el Farró,Male,679,41.412773594643824,2.106121049753216,41.40689839008574,2.1439149715259136,1459,46.54,357
90,Ciutat Vella,2015,01,el Raval,Female,2118,41.38084295838007,2.181049163164951,41.378999052931846,2.170437430140317,5337,39.69,437
91,Ciutat Vella,2015,01,el Raval,Male,3219,41.38084295838007,2.181049163164951,41.378999052931846,2.170437430140317,5337,60.31,437
92,Nou Barris,2015,08,el Turó de la Peira,Female,378,41.44624399686965,2.175060174739923,41.43229809744909,2.1689287084102062,760,49.74,458
93,Nou Barris,2015,08,el Turó de la Peira,Male,382,41.44624399686965,2.175060174739923,41.43229809744909,2.1689287084102062,760,50.26,458
94,Eixample,2015,02,l'Antiga Esquerra de l'Eixample,Female,1493,41.39162181574575,2.1644883081819466,41.38934720324182,2.1551726755124543,2936,50.85,350
95,Eixample,2015,02,l'Antiga Esquerra de l'Eixample,Male,1443,41.39162181574575,2.1644883081819466,41.38934720324182,2.1551726755124543,2936,49.15,350
96,Ciutat Vella,2015,01,la Barceloneta,Female,746,41.38084295838007,2.181049163164951,41.377683632195314,2.1901483803779085,1554,48.01,128
97,Ciutat Vella,2015,01,la Barceloneta,Male,808,41.38084295838007,2.181049163164951,41.377683632195314,2.1901483803779085,1554,51.99,128
98,Sants-Montjuïc,2015,03,la Bordeta,Female,451,41.34994863691585,2.1449328518852444,41.369065870882004,2.136434490087801,939,48.03,342
99,Sants-Montjuïc,2015,03,la Bordeta,Male,488,41.34994863691585,2.1449328518852444,41.369065870882004,2.136434490087801,939,51.97,342
100,Horta-Guinardó,2015,07,la Clota,Female,8,41.42913982673942,2.150530914702001,41.42886496357722,2.153076339811532,28,28.57,40
101,Horta-Guinardó,2015,07,la Clota,Male,20,41.42913982673942,2.150530914702001,41.42886496357722,2.153076339811532,28,71.43,40
102,Eixample,2015,02,la Dreta de l'Eixample,Female,1597,41.39162181574575,2.1644883081819466,41.39389229518443,2.168203987222032,2973,53.72,209
103,Eixample,2015,02,la Dreta de l'Eixample,Male,1376,41.39162181574575,2.1644883081819466,41.39389229518443,2.168203987222032,2973,46.28,209
104,Horta-Guinardó,2015,07,la Font d'en Fargues,Female,105,41.42913982673942,2.150530914702001,41.42458216175912,2.165241491816915,230,45.65,145
105,Horta-Guinardó,2015,07,la Font d'en Fargues,Male,125,41.42913982673942,2.150530914702001,41.42458216175912,2.165241491816915,230,54.35,145
106,Sants-Montjuïc,2015,03,la Font de la Guatlla,Female,390,41.34994863691585,2.1449328518852444,41.36977699847218,2.1449169483079222,762,51.18,349
107,Sants-Montjuïc,2015,03,la Font de la Guatlla,Male,372,41.34994863691585,2.1449328518852444,41.36977699847218,2.1449169483079222,762,48.82,349
108,Nou Barris,2015,08,la Guineueta,Female,232,41.44624399686965,2.175060174739923,41.438810193171115,2.1689111686865257,435,53.33,252
