districtName,5YearAge,year,districtCode,neighborhoodName,count,Latitude_n,Longitude_n
Sarrià-Sant Gervasi,0-4,2017,5,Sarrià,87,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,100+,2016,5,Sarrià,0,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,95-99,2016,5,Sarrià,1,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,90-94,2016,5,Sarrià,6,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,85-89,2016,5,Sarrià,11,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,25-29,2017,5,Sarrià,153,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,65-69,2015,5,Sarrià,22,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,60-64,2015,5,Sarrià,26,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,55-59,2015,5,Sarrià,38,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,35-39,2020,5,"Vallvidrera, el Tibidabo i les Planes",13,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,30-34,2020,5,"Vallvidrera, el Tibidabo i les Planes",12,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,25-29,2020,5,"Vallvidrera, el Tibidabo i les Planes",19,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,20-24,2020,5,"Vallvidrera, el Tibidabo i les Planes",4,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,15-19,2020,5,"Vallvidrera, el Tibidabo i les Planes",5,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,10-14,2020,5,"Vallvidrera, el Tibidabo i les Planes",15,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,5-9,2020,5,"Vallvidrera, el Tibidabo i les Planes",7,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,0-4,2020,5,"Vallvidrera, el Tibidabo i les Planes",6,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,100+,2019,5,"Vallvidrera, el Tibidabo i les Planes",0,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,40-44,2020,5,"Vallvidrera, el Tibidabo i les Planes",15,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,95-99,2019,5,"Vallvidrera, el Tibidabo i les Planes",0,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,85-89,2019,5,"Vallvidrera, el Tibidabo i les Planes",1,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,80-84,2019,5,"Vallvidrera, el Tibidabo i les Planes",2,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,75-79,2019,5,"Vallvidrera, el Tibidabo i les Planes",2,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,70-74,2019,5,"Vallvidrera, el Tibidabo i les Planes",2,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,65-69,2019,5,"Vallvidrera, el Tibidabo i les Planes",3,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,60-64,2019,5,"Vallvidrera, el Tibidabo i les Planes",1,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,55-59,2019,5,"Vallvidrera, el Tibidabo i les Planes",3,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,50-54,2019,5,"Vallvidrera, el Tibidabo i les Planes",9,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,45-49,2019,5,"Vallvidrera, el Tibidabo i les Planes",10,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,90-94,2019,5,"Vallvidrera, el Tibidabo i les Planes",0,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,85-89,2017,5,Sarrià,10,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,45-49,2020,5,"Vallvidrera, el Tibidabo i les Planes",11,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,55-59,2020,5,"Vallvidrera, el Tibidabo i les Planes",6,41.41949766557829,2.0894525733974803
Sarrià-Sant Gervasi,50-54,2015,5,Sarrià,57,41.40263975792741,2.1161752205051303
Sarrià-Sant Gervasi,45-49,2015,5,Sarrià,95,41.40263975792741,2.1161752205051303
