districtName,5YearAge,year,districtCode,neighborhoodCode,neighborhoodName,count
Gràcia,15-19,2015,6,32,el Camp d'en Grassot i Gràcia Nova,39
Horta-Guinardó,15-19,2015,7,33,el Baix Guinardó,40
Horta-Guinardó,15-19,2015,7,34,Can Baró,10
Horta-Guinardó,15-19,2015,7,35,el Guinardó,65
Horta-Guinardó,15-19,2015,7,36,la Font d'en Fargues,9
Horta-Guinardó,15-19,2015,7,37,el Carmel,56
Horta-Guinardó,15-19,2015,7,38,la Teixonera,14
Horta-Guinardó,15-19,2015,7,39,Sant Genís dels Agudells,12
Horta-Guinardó,15-19,2015,7,40,Montbau,16
Horta-Guinardó,15-19,2015,7,41,la Vall d'Hebron,8
Horta-Guinardó,15-19,2015,7,42,la Clota,0
Horta-Guinardó,15-19,2015,7,43,Horta,64
Nou Barris,15-19,2015,8,44,Vilapicina i la Torre Llobeta,51
Nou Barris,15-19,2015,8,45,Porta,46
Nou Barris,15-19,2015,8,46,el Turó de la Peira,48
Nou Barris,15-19,2015,8,47,Can Peguera,0
Nou Barris,15-19,2015,8,48,la Guineueta,17
Nou Barris,15-19,2015,8,49,Canyelles,7
Nou Barris,15-19,2015,8,50,les Roquetes,48
Nou Barris,15-19,2015,8,51,Verdun,31
Nou Barris,15-19,2015,8,52,la Prosperitat,45
Nou Barris,15-19,2015,8,53,la Trinitat Nova,28
Nou Barris,15-19,2015,8,54,Torre Baró,16
Nou Barris,15-19,2015,8,55,Ciutat Meridiana,31
Nou Barris,15-19,2015,8,56,Vallbona,2
Sant Andreu,15-19,2015,9,57,la Trinitat Vella,33
Sant Andreu,15-19,2015,9,58,Baró de Viver,3
Sant Andreu,15-19,2015,9,59,el Bon Pastor,38
Sant Andreu,15-19,2015,9,60,Sant Andreu,62
Sant Andreu,15-19,2015,9,61,la Sagrera,48
Sant Andreu,15-19,2015,9,62,el Congrés i els Indians,20
Sant Andreu,15-19,2015,9,63,Navas,50
Sant Martí,15-19,2015,10,64,el Camp de l'Arpa del Clot,77
Sant Martí,15-19,2015,10,65,el Clot,34
Sant Martí,15-19,2015,10,66,el Parc i la Llacuna del Poblenou,46
Sant Martí,15-19,2015,10,67,la Vila Olímpica del Poblenou,11
Sant Martí,15-19,2015,10,68,el Poblenou,44
Sant Martí,15-19,2015,10,69,Diagonal Mar i el Front Marítim del Poblenou,23
Sant Martí,15-19,2015,10,70,el Besòs i el Maresme,91
Sant Martí,15-19,2015,10,71,Provençals del Poblenou,41
Sant Martí,15-19,2015,10,72,Sant Martí de Provençals,46
Sant Martí,15-19,2015,10,73,la Verneda i la Pau,46
Ciutat Vella,20-24,2015,1,1,el Raval,752
Ciutat Vella,20-24,2015,1,2,el Barri Gòtic,423
Ciutat Vella,20-24,2015,1,3,la Barceloneta,234
Ciutat Vella,20-24,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",388
Eixample,20-24,2015,2,5,el Fort Pienc,266
Eixample,20-24,2015,2,6,la Sagrada Família,408
Eixample,20-24,2015,2,7,la Dreta de l'Eixample,400
Eixample,20-24,2015,2,8,l'Antiga Esquerra de l'Eixample,383
