neighborhoodName,year,districtCode,districtName,neighborhoodCode,placeOfDestination,count
Sant Gervasi - Galvany,2015,5,Sarrià-Sant Gervasi,26,Principado de Asturias,9
el Putxet i el Farró,2015,5,Sarrià-Sant Gervasi,27,Principado de Asturias,2
Vallcarca i els Penitents,2015,6,Gràcia,28,Principado de Asturias,5
el Coll,2015,6,Gràcia,29,Principado de Asturias,1
la Salut,2015,6,Gràcia,30,Principado de Asturias,0
la Vila de Gràcia,2015,6,Gràcia,31,Principado de Asturias,5
el Camp d'en Grassot i Gràcia Nova,2015,6,Gràcia,32,Principado de Asturias,6
el Baix Guinardó,2015,7,Horta-Guinardó,33,Principado de Asturias,2
Can Baró,2015,7,Horta-Guinardó,34,Principado de Asturias,0
el Guinardó,2015,7,Horta-Guinardó,35,Principado de Asturias,4
la Font d'en Fargues,2015,7,Horta-Guinardó,36,Principado de Asturias,1
el Carmel,2015,7,Horta-Guinardó,37,Principado de Asturias,3
la Teixonera,2015,7,Horta-Guinardó,38,Principado de Asturias,0
Sant Genís dels Agudells,2015,7,Horta-Guinardó,39,Principado de Asturias,0
Montbau,2015,7,Horta-Guinardó,40,Principado de Asturias,0
la Vall d'Hebron,2015,7,Horta-Guinardó,41,Principado de Asturias,4
la Clota,2015,7,Horta-Guinardó,42,Principado de Asturias,0
Horta,2015,7,Horta-Guinardó,43,Principado de Asturias,1
Vilapicina i la Torre Llobeta,2015,8,Nou Barris,44,Principado de Asturias,6
Porta,2015,8,Nou Barris,45,Principado de Asturias,1
el Turó de la Peira,2015,8,Nou Barris,46,Principado de Asturias,1
Can Peguera,2015,8,Nou Barris,47,Principado de Asturias,1
la Guineueta,2015,8,Nou Barris,48,Principado de Asturias,2
Canyelles,2015,8,Nou Barris,49,Principado de Asturias,0
les Roquetes,2015,8,Nou Barris,50,Principado de Asturias,1
Verdun,2015,8,Nou Barris,51,Principado de Asturias,0
la Prosperitat,2015,8,Nou Barris,52,Principado de Asturias,4
la Trinitat Nova,2015,8,Nou Barris,53,Principado de Asturias,0
Torre Baró,2015,8,Nou Barris,54,Principado de Asturias,0
Ciutat Meridiana,2015,8,Nou Barris,55,Principado de Asturias,4
Vallbona,2015,8,Nou Barris,56,Principado de Asturias,0
la Trinitat Vella,2015,9,Sant Andreu,57,Principado de Asturias,0
Baró de Viver,2015,9,Sant Andreu,58,Principado de Asturias,0
el Bon Pastor,2015,9,Sant Andreu,59,Principado de Asturias,1
Sant Andreu,2015,9,Sant Andreu,60,Principado de Asturias,7
la Sagrera,2015,9,Sant Andreu,61,Principado de Asturias,3
el Congrés i els Indians,2015,9,Sant Andreu,62,Principado de Asturias,1
Navas,2015,9,Sant Andreu,63,Principado de Asturias,3
el Camp de l'Arpa del Clot,2015,10,Sant Martí,64,Principado de Asturias,6
el Clot,2015,10,Sant Martí,65,Principado de Asturias,0
el Parc i la Llacuna del Poblenou,2015,10,Sant Martí,66,Principado de Asturias,3
la Vila Olímpica del Poblenou,2015,10,Sant Martí,67,Principado de Asturias,0
el Poblenou,2015,10,Sant Martí,68,Principado de Asturias,1
Diagonal Mar i el Front Marítim del Poblenou,2015,10,Sant Martí,69,Principado de Asturias,0
el Besòs i el Maresme,2015,10,Sant Martí,70,Principado de Asturias,2
Provençals del Poblenou,2015,10,Sant Martí,71,Principado de Asturias,1
Sant Martí de Provençals,2015,10,Sant Martí,72,Principado de Asturias,0
la Verneda i la Pau,2015,10,Sant Martí,73,Principado de Asturias,5
el Raval,2015,1,Ciutat Vella,1,Islas Baleares,92
el Barri Gòtic,2015,1,Ciutat Vella,2,Islas Baleares,35
la Barceloneta,2015,1,Ciutat Vella,3,Islas Baleares,26
"Sant Pere, Santa Caterina i la Ribera",2015,1,Ciutat Vella,4,Islas Baleares,58
el Fort Pienc,2015,2,Eixample,5,Islas Baleares,27
la Sagrada Família,2015,2,Eixample,6,Islas Baleares,58
la Dreta de l'Eixample,2015,2,Eixample,7,Islas Baleares,71
l'Antiga Esquerra de l'Eixample,2015,2,Eixample,8,Islas Baleares,54
la Nova Esquerra de l'Eixample,2015,2,Eixample,9,Islas Baleares,75
