,districtName,year,districtCode,neighborhoodCode,neighborhoodName,5YearAge,count
147,Ciutat Vella,2015,1,2,el Barri Gòtic,10-14,12
148,Ciutat Vella,2015,1,3,la Barceloneta,10-14,10
149,Ciutat Vella,2015,1,4,"Sant Pere, Santa Caterina i la Ribera",10-14,26
150,Eixample,2015,2,5,el Fort Pienc,10-14,17
151,Eixample,2015,2,6,la Sagrada Família,10-14,40
152,Eixample,2015,2,7,la Dreta de l'Eixample,10-14,38
153,Eixample,2015,2,8,l'Antiga Esquerra de l'Eixample,10-14,19
154,Eixample,2015,2,9,la Nova Esquerra de l'Eixample,10-14,60
155,Eixample,2015,2,10,Sant Antoni,10-14,38
156,Sants-Montjuïc,2015,3,11,el Poble Sec,10-14,51
157,Sants-Montjuïc,2015,3,12,la Marina del Prat Vermell,10-14,0
158,Sants-Montjuïc,2015,3,13,la Marina de Port,10-14,48
159,Sants-Montjuïc,2015,3,14,la Font de la Guatlla,10-14,6
160,Sants-Montjuïc,2015,3,15,Hostafrancs,10-14,20
161,Sants-Montjuïc,2015,3,16,la Bordeta,10-14,16
162,Sants-Montjuïc,2015,3,17,Sants - Badal,10-14,25
163,Sants-Montjuïc,2015,3,18,Sants,10-14,41
164,Les Corts,2015,4,19,les Corts,10-14,36
165,Les Corts,2015,4,20,la Maternitat i Sant Ramon,10-14,31
166,Les Corts,2015,4,21,Pedralbes,10-14,23
167,Sarrià-Sant Gervasi,2015,5,22,"Vallvidrera, el Tibidabo i les Planes",10-14,7
168,Sarrià-Sant Gervasi,2015,5,23,Sarrià,10-14,28
169,Sarrià-Sant Gervasi,2015,5,24,les Tres Torres,10-14,25
170,Sarrià-Sant Gervasi,2015,5,25,Sant Gervasi - la Bonanova,10-14,24
171,Sarrià-Sant Gervasi,2015,5,26,Sant Gervasi - Galvany,10-14,51
172,Sarrià-Sant Gervasi,2015,5,27,el Putxet i el Farró,10-14,23
173,Gràcia,2015,6,28,Vallcarca i els Penitents,10-14,12
174,Gràcia,2015,6,29,el Coll,10-14,4
175,Gràcia,2015,6,30,la Salut,10-14,7
176,Gràcia,2015,6,31,la Vila de Gràcia,10-14,31
177,Gràcia,2015,6,32,el Camp d'en Grassot i Gràcia Nova,10-14,18
178,Horta-Guinardó,2015,7,33,el Baix Guinardó,10-14,16
179,Horta-Guinardó,2015,7,34,Can Baró,10-14,7
180,Horta-Guinardó,2015,7,35,el Guinardó,10-14,21
181,Horta-Guinardó,2015,7,36,la Font d'en Fargues,10-14,6
182,Horta-Guinardó,2015,7,37,el Carmel,10-14,42
183,Horta-Guinardó,2015,7,38,la Teixonera,10-14,5
184,Horta-Guinardó,2015,7,39,Sant Genís dels Agudells,10-14,10
185,Horta-Guinardó,2015,7,40,Montbau,10-14,3
186,Horta-Guinardó,2015,7,41,la Vall d'Hebron,10-14,6
187,Horta-Guinardó,2015,7,42,la Clota,10-14,1
188,Horta-Guinardó,2015,7,43,Horta,10-14,19
189,Nou Barris,2015,8,44,Vilapicina i la Torre Llobeta,10-14,17
190,Nou Barris,2015,8,45,Porta,10-14,12
191,Nou Barris,2015,8,46,el Turó de la Peira,10-14,11
192,Nou Barris,2015,8,47,Can Peguera,10-14,0
193,Nou Barris,2015,8,48,la Guineueta,10-14,10
